C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_19_329.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_19_329.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_19_329.jpg, 0, 0, 0, 7.929507E-05
C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_19_463.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_19_463.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_19_463.jpg, 0, 0, 0, 7.819042E-05
C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_19_568.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_19_568.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_19_568.jpg, 0, 0, 0, 7.781175E-05
C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_19_678.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_19_678.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_19_678.jpg, 0, 0, 0, 7.868042E-05
C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_19_779.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_19_779.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_19_779.jpg, 0, 0, 0, 8.012645E-05
C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_19_882.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_19_882.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_19_882.jpg, 0, 0, 0, 7.875207E-05
C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_19_994.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_19_994.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_19_994.jpg, 0, 0, 0, 8.206967E-05
C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_20_100.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_20_100.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_20_100.jpg, 0, 0, 0, 8.427094E-05
C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_20_217.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_20_217.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_20_217.jpg, 0, 0, 0, 7.873282E-05
C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_20_318.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_20_318.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_20_318.jpg, 0, 0, 0, 7.887292E-05
C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_20_426.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_20_426.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_20_426.jpg, 0, 0.3186339, 0, 0.3972887
C:\Joes Stuff\Self_driving_car\Data\IMG\center_2019_10_02_21_00_20_533.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\left_2019_10_02_21_00_20_533.jpg, C:\Joes Stuff\Self_driving_car\Data\IMG\right_2019_10_02_21_00_20_533.jpg, 0, 0, 0, 0.4448558
